museum_name,name,rating,review
Old City Art Space,Ribka Simatupang,3.0,"Actually it's a place to take photos with many different backgrounds, angles and poses as you want. Once you enter the building, you will see various background photos in each room. You can also photo using wardrobe and it's free. Some of the background are quite hilarious such as khong guan biscuit design, nataional geographic magazine design, and selfie with the poster of Indonesian president, Mr Jokowi. In each room there are some staff who can help you take the photos. They can also help to shoot with the right angle. With the high level of narcism in Indonesia, the place is really popular because people want to take good selfie or photograph. But if you're not fan of selfie going to this place seems not worth the money. This place located in the middle of Semarang old city so it is very accessible."
Old City Art Space,Hendra Atmadja,5.0,"Great places with lots of 3D wallpaper to create interesting pics, staffs are pleasant and helpful, they even helped us by suggesting good choreograph for our pics, entrance fee is fair and affordable, this is a place you must visit in Semarang."
Old City Art Space,Debora,5.0,"Ticket price is 50,000 idr. The inside view is not bad. Its not too crowded if you visit the museum in the afternoon. The best 3d art is the mirror room."
Old City Art Space,R2 Fathuna,5.0,The 3d pictures inside are great. Great destination for selfie lovers. Just ensure you have enough battery power to take many photos
Old City Art Space,Ivonne Widiyawati Anggraini,5.0,My kids loved it. I didn't go in. But they said it was so much fun. Especially the infinity parts
Old City Art Space,Santi Hati,5.0,"Nice staff, ticket price Rp.50.000/person. Have discount for student, bring ur student id. Many spot, staff also helpful. Will come again"
Old City Art Space,Indah Channel,5.0,One spot in old City in Semarang. A 3D museum with various 3D paintings for your photographs. The attendants are friendly and helpful. They are willing to help you take the best pictures
Old City Art Space,Sarah Landrygan,5.0,"Great fun for an afternoon in sleepy Semarang. As a childless (thankfully) couple rapidly approaching middle age, we loved it! Leave the kids at home and have some fun!"
Old City Art Space,Agnes Anindita,5.0,"amazing place , with crazy idea and awesome technic"
Old City Art Space,Fadhilah Rahmi Karim,5.0,This place location at central Kota Lama Area. The ticket for entering is IDR 50.000. This place has so many photo spots. The staffs are also friendly and want to help visitor to take photos.
Old City Art Space,Tenun eBoon,3.0,"It is not a 3D painting. It was a picture. I am not expecting to see a picture or photo that arrange as a backgrounds and called it 3D, even more some of it they use real fixture rather than pictures or even painting i.e: they use real sakura flowers, real horse statue, real flowers in the garden."
Old City Art Space,Kristoforus Kusuma,5.0,Was here since my gf asked me to go here. With her. To take thousands of pics. Was it wort it? Yes. Would you do it again? No. Not because of the place.
Old City Art Space,andre halim,4.0,"Interesting place to take trick photo, friendly staff."
Old City Art Space,Roy Sebastianus,4.0,Good place to spend time together with friend and family discussing the right photo pose to take. Not recommended when crowded because you will spend most time waiting photo time.
Old City Art Space,Ferry Ferdinand,3.0,"With entrance fee 50k perpax, I think it supposed to be included local guide to assist each customer to get the right angle of photo."
Old City Art Space,Cerita Mainan,4.0,Good for your family
Old City Art Space,Mila,3.0,"Harga 50 rb, .. nice place to refresh your day with them that you love :)"
Old City Art Space,Charly Marpaung,5.0,best to take your photos in a 3 dimensional room in the city of semarang
Old City Art Space,Rodney Carter,5.0,"Very tricky here, try not to vanish"
Old City Art Space,Andre Mehong,3.0,Interesting place but I don't know it's worth enough if we compare to the entrance fee. But ... it is a unique place.
Old City Art Space,Priyambudi R.S.,3.0,Great and fun. Need to limit visitor for good timing to take picture. And put mark position to take picture
Old City Art Space,tommy tindo,1.0,"What a waste of money, cuma tempat untuk foto alay (only good to take idiotic pictures). Don't go here."
Old City Art Space,Gita Avianty,3.0,"It may be real good for some people. But for me, personally it isn't that good because I've seen some better ones."
Old City Art Space,Lifania Riski,4.0,Good studios for photos hunters..
Old City Art Space,Wahyu Swid,5.0,3D trick nya kereeen....
Old City Art Space,Harry Burmeister,4.0,It's a fun place for kids. You need about 1 hour to see all the attractions 😉
Old City Art Space,iqbal nasution,4.0,great
Old City Art Space,Merit Petrichor,5.0,Good services and really cool
Old City Art Space,Rida sauda,5.0,Worth it
Old City Art Space,dianasrie septayanti,5.0,"This place so interested, unique. You can take a picture in different pose and so many background"
Old City Art Space,Muhammad Firman,4.0,Good place for playing with friends and family. Be sure to take a lot of photos.
Old City Art Space,Okva Harin,4.0,Digital vacation museum that you can find in old Town semarang. Get inside and get some more photos
Old City Art Space,Pipin Firmansyah,3.0,good experience. need more trick
Old City Art Space,Henk,5.0,Unique place for taking pictures if you have extra budget to spend.
Old City Art Space,Ciwi Paino,5.0,Many shooting spots.. they said they were changed the theme every quarters
Old City Art Space,Joanes Mario Adityo,5.0,Great for family or friend trip
Old City Art Space,Taufik Helmi,4.0,Good place...great environment... But lack of parking spots
Old City Art Space,Kang Mpeb,4.0,It's good enough to go to.
Old City Art Space,siti fatimah,3.0,This place quite small for 3D museum.. lil. Expensive for short time photoshoot
Old City Art Space,Syafira Aleyda P.,3.0,"the place is good and clean, but there are not much of the 3D pictures"
Old City Art Space,Laura Iskandar,5.0,Kereeennnn.. very nice place buat poto2..
Old City Art Space,Fidelia Mirzanadya,5.0,Intetesting place in semarang
Old City Art Space,Robaldo Robaldo,5.0,Wow...speechless deh...so hot n full experience that never forgotten
Old City Art Space,Nugraha Kartasasmita,4.0,"It's a fun place to take your picture with family, is a must to see"
Old City Art Space,Adam Surya,4.0,fun places you can find many 3d landscape here with warm welcoming
Old City Art Space,yoesneu jacklyn2,5.0,Love it looks like real if you know the spot and how to take it
Old City Art Space,Willy D C,4.0,Nice photo booth even not so many choices
Old City Art Space,Tissa Cellini,4.0,Interesting. But I think they need to groomed it more to make it better
Old City Art Space,RED & GOLD,4.0,For me the place is very good ans the ticket price is fair..
Old City Art Space,Arum Nisrina Hakim,5.0,Nice destination with spots selfish
Old City Art Space,Astri Dewi,5.0,"Good place, there is example picture to show the right pose."
Old City Art Space,kpop New,5.0,"Good ,50.000"
Old City Art Space,Riana Milou,4.0,"So many spot photos, interesting and nice for selfi"
Old City Art Space,Nirai Kristiana,4.0,Creative backdrop for photos! Right place to have hundred of photos in one place!
Old City Art Space,Audi Iswara,3.0,"Fun place for 3D art, but need to re-paint, it looks dusty"
Old City Art Space,arief Genter,5.0,Another good places to take your kids sightseeing in Semarang City
Old City Art Space,hikaria luqito,4.0,The view outside the place is great for photography as well.
Old City Art Space,puji lestari,5.0,this place presents a lot of very interesting photo spots
Old City Art Space,Nunik Suhartono,4.0,"Fun, the children like it & instagramable of course! 😀"
Old City Art Space,Chris,5.0,Tricky
Old City Art Space,yudi fadilla,5.0,Great photo tricks
Old City Art Space,ariefbros,4.0,Beautiful place for refresh your mind with photography
Old City Art Space,Sienny Irawati,4.0,Great place to take pictures with tricky paintings
Old City Art Space,Jerry Harjadi,5.0,Nice place but price ticket is high
Old City Art Space,H Rosita R,4.0,Well done renovation
Old City Art Space,Adi Prasetyo Soenarto,5.0,Nice place but the ticket too expensive for citizen of Semarang City.
Old City Art Space,Kristo Krova,4.0,Nice place
Old City Art Space,Aushia Wara,5.0,There is have a good place for photo session
Ronggowarsito Museum,Diantoro Deka Saputra,5.0,"Actually it’s a great museum. The collection of the museum was great, from pre historic until recent history, from archaeological, stones, until history of Javanese culture. But, there’s no clear concept how the visitor enjoy and learn from the museum. It will be better if the museum have some clear concept and have one way to enter until exit and have the full history experiences. Cheap ticket entrance."
Ronggowarsito Museum,Nat Furgeva,5.0,"This museum surprisingly displayed unexpected features you know. And funnily many Semarang inhabitants don't know about what is inside. You'll find a socio-geological history packed in neat wooden furniture. I ensure you to find a new wonderful experience while hanging around there, because this historical place isn't like another cliche and boring museum. Also, luckily there is an AC so you won't be dehydrated okay. But unfortunately, the second floor wasn't covered with AC. Then, that's fine to look around the first floor only if you can't handle the heat. The other surprising aspect was a 3D show. Telling us about the dinosaur ever existed. Btw, I've just to know that mammoth was existing in the last on Java's land. This museum is truly educating!"
Ronggowarsito Museum,MsErynn8,3.0,"Warning:Honest review..Hopefully the one involve will read this review for improvement..For your info there is Museum Fair ongoing at the moment started on 15 till the 19th of Sepetember.Unfortunately other than a big banner at the Museum itself..No announcement / widely publised on national newspaper or social media!.So there is less crowd to begin with.Doesnt help that the Museum really need a makeover(painting,replicas need to be updated and cleaned).It starts at 11 and closes at 3pm ?!An absurd hours..We went to this Museum and staffs are far from making us feel Welcoming,You get the impression that either they are uninterested to customers/public or simply were forced' to be at funfair or something...Otherwise nothing much to see as most stations are either closed/for renovation?!-then why the Museum Fair then?Sad to see good and precious artifacts are notvery well kept w for public view.Thank you.Hv a good day!Much to improve.!"
Ronggowarsito Museum,Wahyu Priyansah,5.0,"Awesome venue, heritage tourism place of Semarang. strategic, in the center of city, in main road, clean, huge parking area, has a hotel that good enough for the guess come from another city or country. good security.. and also really great venue to make wedding event.. #carakaeo #partnersetiapaacara"
Ronggowarsito Museum,Abida “Anna” Muttaqiena,5.0,"Great museum with huge collection. Here, you could learn geology, history, and culture of Java from various artifacts, fossils, dioramas, and many other historical displays. Tickets are cheap, and there's locker in the lobby. Also, there's large parking area which may benefit tour groups and families with car or bus. However, when I came (it was on Saturday), there's no tour guide while some displays are not accompanied with any plaque or description sheet, so it was not a very satisfactory visit."
Ronggowarsito Museum,mnr rahadi,4.0,"For a wedding party, i like the wide parking area, well circulated venue."
Ronggowarsito Museum,Rose Betsheba Purba,5.0,"this museum is great. it's clean, the display is good, the facility is good enough. there's library here, it has 2nd floor, you should check it. there are some details that you should see. i'm helping my friend do his research here.the ticket is cheap, 4k for adult and 2k for children."
Ronggowarsito Museum,desi desi,3.0,"Nice and clean museum, with big parking lot. Cheap entrance ticket. Maintenance needed to keep the collection in good shape while exhibit them with clear information in bahasa Indonesia and english. Refresh artifact display could also attract more visitors."
Ronggowarsito Museum,Aqmilatul Mahgfiroh,5.0,Wisata edukasi yg sangat cocok untuk anak-anak maupun dewasa. It was a greta experience for kids. They'll learn about the the history of human being msotly. There are also some 'relief' about the wars
Ronggowarsito Museum,Mamluatun Ni'mah,5.0,"Rangga Warsito Museum is a museum located in Semarang. if you want to visit it you can use Trans Semarang bus or by angkot. in that place you can study and travel, the entrance ticket prices are also cheap, only 4000.00. let's enliven."
Ronggowarsito Museum,Yuni Akbar,5.0,"It's proper place to hold wedding events, the room is spacious, the parkig area is large and the staffs are helpfull."
Ronggowarsito Museum,Karima Maulani (Riima),5.0,A fun place to educate a selfGreat vibe and nicely arranged 😊Definitely worth itVisited on Weekend Wait time 10–30 min Reservation recommended Yes …More
Ronggowarsito Museum,setya mahanani,3.0,Dark and creepy. The collection are great but looks like lack of maintenance. Need more audio-interest.
Ronggowarsito Museum,Aris Kristianto,4.0,This is nice place for vacation and education especially for kids. There is tell us about history and culture about java
Ronggowarsito Museum,Adec Putra,3.0,"One of biggest Museum in Central java, unfortunately, confusing storyline of the museum and very humidVisited on Weekday Wait time No wait Reservation recommended Not sure …More"
Ronggowarsito Museum,Hanny Nurmalita Anggadewi,4.0,"Ranggawarsita Museum is full of knowledge and Javanese culture for you who want to know more about Central java, this is the right place"
Ronggowarsito Museum,Mufti Arifin,3.0,"cheap admission fee (IDR 4000), not many collection but enough to know central java at short time."
Ronggowarsito Museum,vikri wira,5.0,the place is nice and clean. good for education and recreation. the building is also unique.
Ronggowarsito Museum,Dita Sakti,5.0,Have a good time short traveling around semarang with Si Denok Buss..
Ronggowarsito Museum,Nariswarira,3.0,"Really good place to educate people, but need some maintenance to make this place better"
Ronggowarsito Museum,Nadya Dini Lestari,5.0,A distinguished museum in Semarang. You could try the free Semarang-tour bus on weekend
Ronggowarsito Museum,carvlog rizalmuryana,5.0,"ronggowarsito museum is very interesting, many sites are on display there, the building can also make weddings"
Ronggowarsito Museum,W H I Z I S M E (Digitalpreneur),5.0,Central Java full of heritage.Si Kenang Bus parking
Ronggowarsito Museum,Erha Tours,5.0,Recommended 😊👍
Ronggowarsito Museum,Emy Sutari,4.0,"One of most famous museum in Semarang,Central Java,Indonesia,,it's a good place to educate the student about the past and present culture in Central Java. Lot's of Historical artifacts both localy and nationaly. U can rent a guide that will guide & explain about the artifacts,but i'm not sure if they speaking English or any other language. The admission fee is cheap,even for local,Rp4000 for adult,and Rp2000 for children,less than 50￠USD for 2 people, parking lot quiet wide also. And there's another attraction here,the Department of Transportation of Semarang City open a change for tourists,to travel around Semarang city in a sight seeing Bus,it's a shuttle bus,it's free,,but because the antusiasm of the tourist quiet high,you have to line up since 6Am,oe if you are traveling in a group you gotta contact the Department beforehand. Or else you need to wait longer just to get on the sightseeing bus. Have a nice trip,and welcome to Wonderful Indonesia."
Ronggowarsito Museum,Marinus Wicaksono,5.0,Go around Semarang by bus (si Denok - si Kenang)
Ronggowarsito Museum,Rosita Permata Dewi,4.0,"This place have a very big parking lot, so if you have a lot of guest, you dont have to worry about the parking space. It is very easy to notice. And not very far from simpang lima. Just make sure you use enough air conditioning because it is quite hot inside"
Ronggowarsito Museum,aditya dhanwantara,2.0,small museum with many benefit you can getVisited on Public holiday Wait time No wait Reservation recommended Not sure …More
Ronggowarsito Museum,rondang aritonang,2.0,"The museum located on Abdurrahman Saleh street is the most complete museum in Semarang which has a collection of history, nature, archeology, culture, the era of development and insight into the archipelago. With the name taken from the name of one of the Indonesian poets, Ranggawarsita, who is famous for his work in the fields of philosophy and culture, the museum occupies a land area of ​​1.8 hectares, the museum is opened every day at 08.00 to 16.00 WIB. Located approximately 3 km from Tugumuda. And can be reached by public or private transportation."
Ronggowarsito Museum,Hanun Nabila,3.0,Lot of collections but aren't interesting to looked and some of them are dirty. The rooms are so dim. The interactive machine is unable to use. Hope the administrator maintain better and makes it interesting^_^
Ronggowarsito Museum,Farras Wardana,3.0,"Collection of javanese culture are quite complete. But the thing is, i don't know wether some of them has been sold or gone missing, because sometimes i found nothing on the display, and there are no explanation about it. No air conditioner whatsoever."
Ronggowarsito Museum,Afiq Rafie,4.0,The cultural museum on semarang who show about central java..
Ronggowarsito Museum,Teguh Widodo,4.0,Nice place to learn history of Central Java. I recommend parents to bring their children there. Even shcools can bring their students there due to spacious parking lot
Ronggowarsito Museum,FWPN,4.0,Quite complete and well maintained.... this museum is above average and the entrance fee is so cheap (but I can't remember how much).
Ronggowarsito Museum,Kiki Maliana,5.0,"The museum which also offering convention hall with a good facilities like rest room, large parking area, and strategic area that easy to notice from Kalibanteng area"
Ronggowarsito Museum,Graham Rodda,4.0,Interesting range of displays with some English text. Very pleasant building. Great collection of puppets. Easy to spend a morning here. Has an asteroid!
Ronggowarsito Museum,muzaki,4.0,place of javanese culture and history
Ronggowarsito Museum,Ricky Mathew,5.0,"One of the best museum in Central Java Province, Famous because of its complete collection from the ice age till the Hindu Buddha era"
Ronggowarsito Museum,Ika Hapsari,4.0,"I only visit their main auditorium on wedding party, haven't got any opportunity to take a look at theit collections. It's located near the Ahmad Yani International Airport Semarang"
Ronggowarsito Museum,Martin Hughes,1.0,The main museum of the province jawa tengah hardly has any exhibits. Items are poorly displayed and lit with many comments only in one language.
Ronggowarsito Museum,Lasantha Wickramasinghe,3.0,Lot to learn about Semarang region but unfortunately no information in English 😭
Ronggowarsito Museum,Joy Yarson7 Baneftar,5.0,"I cam there when is public holiday... PILKADA day... On 27 june 2018, so they closed... But i think of i look from outside is quite nice place"
Ronggowarsito Museum,Mirza Sefrizal Cartoon channel,4.0,Good enough educational museum.
Ronggowarsito Museum,Anne Thymotie,3.0,The museum was surprisingly huge. The ticket was cheap. However artifacts and other objects were seemed poorly maintained. The lighting inside the galery was too dark and it became very creepy.
Ronggowarsito Museum,arifanti murniawati,3.0,Rich of history and culture of central java. Need more maintenance and improvement. 2nd floor quite spooky.
Ronggowarsito Museum,W I L L S,4.0,Historical museum in Semarang city. There are many collections of objects. Fun place to learn
Ronggowarsito Museum,Purni Devapriya,5.0,An excellent museum with a beautiful and precious collection of artifacts. Needs better maintenance and more attention from the authorities to prevent the museum from deteriorating.
Ronggowarsito Museum,Muhammad Ulil Albab,5.0,nice
Ronggowarsito Museum,Radka Malinčáková,5.0,Nice place to see the history
Ronggowarsito Museum,Nirmala Hidajati,4.0,"Good place for meeting point, wedding party. We could put the the car for a day"
Ronggowarsito Museum,Rima Wahyuningsih,3.0,"The ticket is cheap. The place is messy and so quiet, with all the statues. It's quite scary..."
Ronggowarsito Museum,Mohammad Arkham Chadiar Jantra,5.0,"Last week I've visited this museum, to watch indie movies and discuss about history. Nice place, but hope can be more reactively."
Ronggowarsito Museum,Zabrina A. S,5.0,You should rent extra air conditioners if you wanna rent the place bcs it's very hot there
Ronggowarsito Museum,Wahyu Setiaji,5.0,Ronggowarsito museum Located in Semarang city. This is a big museum. We can see many things there
Ronggowarsito Museum,Eko Danang Supriyanto,5.0,Safe and cozy place.
Ronggowarsito Museum,Abdullah Rozan,5.0,Great place for study aabout history
Ronggowarsito Museum,Febe Arifiani,5.0,Historical Museum in Semarang...We can learn Javanese tradition...Great place...
Ronggowarsito Museum,Nugromax Store,3.0,well maintained museum..but it needs more creative touchto make an attractive museum.
Ronggowarsito Museum,Ms Elin,5.0,The price ticket is 4 thousand. It has many kinds of collection to displayed to show central java cultures.
Ronggowarsito Museum,Fianna Witwicky,2.0,"It is too old and dusty, they should improve their collection to be more interactive"
Ronggowarsito Museum,alexandra leonora,3.0,The building accoustic is not suitable for high volume music equipment
Ronggowarsito Museum,yuliana jusuf,5.0,You can ride tour bus from this place to go arround Semarang city for free
Ronggowarsito Museum,Deva Altar,5.0,"Nice! This is best museum in Semarang, we can learn more about history"
Ronggowarsito Museum,pipit nuridayah,4.0,nice place to learn about Indonesian culture and history..clean and spacious too
Ronggowarsito Museum,Ahmad Syauqie (ahsyaka),3.0,The place itself is quite good. But the airconditiner is not quite cool.
Ronggowarsito Museum,Bayu Puding,5.0,wow
Ronggowarsito Museum,Teguh Widodo,5.0,It's not a big museum but has complete collection about history of Central Java
Ronggowarsito Museum,try febrianto,4.0,Good place
Ronggowarsito Museum,bunda iin,4.0,i went there to ride the muter-muter semarang bus.. you must try this 😊
Ronggowarsito Museum,Thusitha Devapriya,5.0,"Its good place to visit for tourists, but most of information on local language"
Ronggowarsito Museum,Asrida Ulinuha,3.0,"As a museum it can be a good place to learn, however the set and facility is kind of boring"
Ronggowarsito Museum,Asti Soemaatmadja,5.0,Place to learn
Ronggowarsito Museum,Dean Saputra,3.0,It was like an abandoned place :(
Ronggowarsito Museum,Vincentia Horsman,2.0,Need reconstruction ... nothing special here
Ronggowarsito Museum,Arum Widyaningsih,5.0,Cucok👍
Ronggowarsito Museum,Ferdian Wicaksono,5.0,Good
Ronggowarsito Museum,Deddy Saputra,5.0,Great buildings.. Its always used to marriage events
Ronggowarsito Museum,Nox Sagita,4.0,Baguuss
Ronggowarsito Museum,Mario Komala,3.0,it 's have free bus
Ronggowarsito Museum,Gilang Ramadhan,3.0,I am very excited because this is my first time visit to Museum Ronggowarsito.
Ronggowarsito Museum,Agnes Msm,4.0,There are giant tusks and they're super cool!!
Ronggowarsito Museum,Dahlia Prasetyaningtyas,4.0,We can learn history of Central Java Province in this museum
Ronggowarsito Museum,Muhammad Harimurti,5.0,Great Building for Culture
Ronggowarsito Museum,Albert Andrew,5.0,good museumlarge parking lotaudio visual room was great
Ronggowarsito Museum,FX Budi Widyatmoko,4.0,Nice place to bring your children to know about Javaneese culture.
Ronggowarsito Museum,Ganjar Prasunu Adi,4.0,Not too special
Ronggowarsito Museum,Aryo “Aryo”,5.0,NiceVisited on Weekend Wait time No wait Reservation recommended No …More
Ronggowarsito Museum,ruddy wijaya,5.0,Once visit. Nice place to know about javanese tradition
Ronggowarsito Museum,Iman Santoso,4.0,Museum...
Ronggowarsito Museum,danang danz,5.0,One of museum in semarang which educate child about history..
Ronggowarsito Museum,DIEMAS NUR FALAHUR ROZAQ,5.0,It'll be good
Ronggowarsito Museum,Sumayah Abrahams,4.0,Always enjoy visiting a museumBroadens our knowledge
Ronggowarsito Museum,Baggio Al Fabet,4.0,It very good for study history of central java
Ronggowarsito Museum,Pradana Jayawardana,5.0,Best museum in Semarang. Must visit place!
Ronggowarsito Museum,Suhar Diman,3.0,Top..
Ronggowarsito Museum,Geoffrey Laurens,5.0,Want to explore semarang with a free bus? go to this place....
Ronggowarsito Museum,Zaimatus Sa'diyah,5.0,You should visit to learn part of the history of Indonesia
Ronggowarsito Museum,Ahmad Khoirul Anam,4.0,😉😊😊
Ronggowarsito Museum,Budi Arifudin,5.0,A nice reception hall with a wide parking area
Ronggowarsito Museum,d͡ʒɒʃuːə ɡeɪbɹi.əl,5.0,"A place to remainders us, knowledge is powerful"
Museum Kota Lama,BLESSING INDONESIA,3.0,Beautiful architecture n design. Love the glass bridge. The Jateng province did an excellent job renovating the whole old town area. Sadly the museum is not maintained maximally. Why removing all the beautiful water lilies n fishes from the beautiful pond. Used to be so beautiful. Now so empty
Museum Kota Lama,Yulifar Widodo,4.0,"Unfortunately it was closed when we came here so we found it more like a monument rather than a museum. Despite the attractive design and location, the museum feels empty with little to none information available of what the museum had in its disposal. Accessing the museum itself is a big problem for some, thanks to the traffic around the roundabout."
Museum Kota Lama,Viva Chandra,5.0,"One of educational tourism destination while you’re in Semarang. Near Kota Lama Semarang, a famous tourism destination. You can learn about Semarang’s history. The guide are so friendly."
Museum Kota Lama,Do Ryang Kim,5.0,You must booking on ‘Lunpia’ app.Must be on time for reservation.Listen to the guide at the same time as the person.Takes about 30 minutes😉
Museum Kota Lama,W NKS,1.0,"We didn’t go inside because I have to login with certain app that won’t work with te mobile phone that we use. It wasn’t practical, even to cross the street since the place was in a middle of “round about” there’s no sign of pedestrian crossing. The water pond was nothing so it wasn’t great to look at . When it come to museum, there’s just be away that visitor can visit with ease not to complicate"
Museum Kota Lama,ana purna,3.0,"nice architecture, unfortunately it was closed when we visited."
Museum Kota Lama,yanuar,5.0,"Educative, we get to know how the history of the city of Semarang"
Museum Kota Lama,Dwi Suseno,5.0,"The Museum is not open for public yet on the day we came. However outside landscape is very good, represents a gate of Old City of Semarang. It'll be an iconic monument for tourists to get photographs here. Plan to come again next visit to Semarang to know what exactly shown inside the Museum."
Museum Kota Lama,Hans W,5.0,Beautiful architecture. The guide was very informative.
Museum Kota Lama,Meida Aryani,5.0,KerenVisited on Weekend Wait time 1 hr+ …More
